0,Аспирин,10.00,1,Ибупрофен,Напроксен
1,Анальгин,20.00,0,Трамадол,Кеторолак
2,Амлодипин,30.00,1,Нифедипин,Верапамил
3,Ацетилсалициловая кислота,40.00,1,Ацетилсалициловая кислота пентаэритрит тартрат,Аспирин лиофилизат
4,Ацетилхолин,50.00,0,Метанхолин,Ацетилхолин хлорид
5,Парацетамол,20.00,1,ВерHRusion,Кальцетолол
6,Диазолин,10.00,1,Кардиверезин,Флуоксетин
7,Арбидол,200.00,1,Аметицин,Апирилин
8,Низортал,15.00,1,Имипрамин,Медифлоксамин
9,Нурофен,10.00,1,Флуаризин,Карбуцистайн
10,Фенкарил,30.00,0,Парацетамол,Ибупрофен
11,Аймол,20.00,1,Гексаметилентетрамин,Дифенилгидантоин
12,Холофлюор,50.00,1,Димедрол,Тетракаин
13,Бетасерј,50.00,1,Бетасерј,Бетаксил
14,Кардиверезин,100.00,1,Сульфат натрия,Кардиоверезин альфа
15,Таджикский коноплевый экстракт,100.00,0,Вилларджин,Сильвинол
16,Белзуйд,100.00,0,Сапрангин,Квиай
17,Колеcalciferol,20.00,1,Колекальциферол,Эргокальциферол
18,Каломель,20.00,0,Сапрангин,Чолпанизин
19,Пентоксил,200.00,1,Пирацетам,Триглуцид хлорида
